hu0,hu1,hu2,hu3,hu4,hu5,hu6,eccentricity,solidity,extent,aspect_ratio,roundness,mean_r,std_r,kurtosis_r,skewness_r,mean_g,std_g,kurtosis_g,skewness_g,mean_b,std_b,kurtosis_b,skewness_b,contrast,dissimilarity,homogeneity,energy,correlation,ASM,convex_components,class
0.65753,1.67513,3.82056,4.68261,9.61119,-6.02055,-8.90152,0.89199,0.90915,0.66325,2.21212,0.65659,133.13504,28.53517,0.14898,0.36557,83.15453,36.44204,-0.25782,0.57349,93.46141,38.85884,0.36689,0.81686,138.82018,2.80376,0.88994,0.88263,0.93852,0.77905,1,wheel
0.79232,3.21349,6.40214,8.40162,-10.0,-9.71005,10.0,0.51562,0.97858,0.72038,1.16711,0.87239,232.21893,7.41584,-0.10311,-0.03094,162.1355,18.35637,-0.34939,-0.27484,156.12012,16.72079,-0.12894,-0.42521,42.12168,0.27428,0.99357,0.99293,0.90268,0.98591,1,wheel
0.72549,2.05758,3.60638,4.7674,9.08401,6.07779,9.02569,0.81507,0.94468,0.679,1.72604,0.77209,139.25483,23.41606,0.08545,-0.6609,65.92871,21.55229,-0.30342,-0.12021,36.54403,14.59562,0.57852,0.35154,31.00476,0.49106,0.97063,0.96541,0.93653,0.93201,1,wheel
0.76545,2.4599,4.96321,6.9915,9.99971,-8.4204,9.99964,0.71483,0.97396,0.85075,1.43,0.83663,144.93966,25.46729,0.62402,0.41282,100.10143,33.73897,0.78151,0.75733,90.15725,36.86778,0.28521,0.52318,88.18458,1.24146,0.9615,0.95945,0.91388,0.92054,1,wheel
0.77967,2.6967,4.62878,6.23957,9.99518,7.90541,-9.99225,0.65204,0.97663,0.74013,1.31895,0.80986,156.72704,26.83921,-0.46803,0.04976,106.6708,40.26315,-0.45191,0.49693,98.99495,39.61671,-0.30523,0.56728,199.91604,2.45019,0.86366,0.83793,0.95363,0.70214,1,wheel
0.76622,2.56994,3.72307,5.12251,9.60642,-6.99231,-9.46377,0.68185,0.94289,0.69378,1.36707,0.73044,203.18661,24.49029,0.29991,-0.43847,114.50397,24.20424,0.1636,-0.29594,115.23998,28.31159,-0.45081,-0.18055,99.04308,1.21238,0.94648,0.94098,0.95529,0.88545,1,wheel
0.68851,1.77959,0.0,0.0,0.0,0.0,0.0,0.87882,0.9903,0.82891,2.09575,0.77159,183.13276,34.52291,1.05309,-1.26124,125.58457,33.51441,-0.051,-0.23017,110.72223,33.82833,0.17682,-0.16782,58.62954,0.677,0.97849,0.9769,0.93503,0.95433,1,wheel
0.7828,2.90309,3.87544,5.61843,9.84558,7.12587,-9.97484,0.59424,0.97564,0.73163,1.24333,0.85126,162.52936,18.53274,1.03399,-0.55592,117.51331,19.62837,0.56498,-0.23172,96.99698,20.01477,0.77052,-0.0546,43.73975,0.51213,0.97512,0.97077,0.95265,0.9424,1,wheel
0.74955,2.61635,2.99888,5.05516,9.26036,6.5079,-9.09956,0.65801,0.92208,0.69378,1.328,0.73319,167.23254,40.66319,-0.42791,-0.40128,97.98505,40.52463,-0.32495,0.14198,89.63127,44.77791,-0.63414,0.19991,180.59993,2.47876,0.92891,0.92592,0.91339,0.85734,1,wheel
0.77766,2.63523,4.5042,6.07989,9.99389,8.09377,-9.98296,0.66913,0.99006,0.82412,1.34563,0.89136,161.02868,25.3409,-1.03382,0.30569,129.18391,25.48704,-0.72071,0.21563,113.81123,21.81116,-0.8017,0.16291,50.20755,0.58888,0.96855,0.96152,0.96385,0.92452,1,wheel
0.78566,3.13926,4.29461,5.90768,-9.97373,-8.28551,-9.96836,0.53146,0.96833,0.6834,1.18052,0.85949,199.27621,15.78604,0.65803,-0.96482,163.80695,31.72919,-0.40914,-0.4323,163.45393,37.40524,-0.55614,-0.40081,69.02603,0.5661,0.981,0.9784,0.94512,0.95727,1,wheel
0.77311,3.5544,3.27204,5.52441,9.7238,-7.9221,9.74507,0.42458,0.93494,0.69557,1.1045,0.7117,173.37699,25.22681,0.30957,-0.71008,113.14366,30.60361,0.12036,0.12656,103.81083,29.26608,0.36672,0.32749,154.14161,2.00998,0.87928,0.8533,0.96493,0.72813,1,wheel
0.77123,2.61504,3.88364,5.38032,9.98935,-7.32301,9.70515,0.67132,0.94843,0.65515,1.34922,0.77855,179.40629,23.15248,0.31824,-0.4488,91.74441,35.53527,-0.33562,0.24376,93.73885,36.20445,-0.53758,0.40636,157.30055,2.54602,0.80563,0.74881,0.9723,0.56073,1,wheel
